id_product,product_name,description
1,'B Fitting' High Cut Briefs,"Lighter-than-air, full-cut Supima® cotton briefs feature unique stitching on the waistband and leg openings for an exceptionally smooth, sleek fit."
2,'Skinsense' Seamless High Cut Briefs,Cleanly finished edges ensure that these full-coverage panties disappear under clothing.
3,'Annabelle' Lace Garter,Scalloped lace adorned with a little blue bow defines a frilly bridal garter that adds a bit of romantic intrigue to your ensemble.
4,Chrystalle Underwire Balconette Bra,"Stretchy Leavers lace delicately veils this romantic balconette bra formed with three-part cups that lift, shape and support without padding. A bow-bedecked crystal at the plunging front and a dotted mesh back prettily detail the design."
5,'B Smooth' Bikini,"Stretchy fabric shapes a low-rise bikini designed with seamless construction and a wide, flat waistband for a smooth, comfortable fit."
6,'B Sultry' Bikini,A Chantilly lace front brings French design-inspired sultriness to an alluring bikini shaped in sheer mesh.
7,5-Pack Original Rise Thong,Classic colors style thongs made from soft and stretchy lace that fits comfortably and won't show through clothes.
8,Seamless Illusion Thong,"These soft, seamless panties are designed to disappear under clothing and wear incredibly comfortably."
9,Alexandra Tap Shorts,Romantic and comfortable in sheer scalloped lace with an elastic waist and flowy fit.
10,Seamless Bralette,Lounge and layer in this stretchy ribbed bralette that's luxuriously comfy in a seamless design.
11,'Retro Vikini' Briefs,"A higher, retro-inspired waistband tops signature stretch-lace briefs that combine the flattering fit of the original thong and the comfortable coverage of a classic bikini."
12,Marquisette String Bikini,A soft and sheer panty keeps things simple with CK logo straps.
13,Stick-On Push-Up Bra,"Innovative adhesive lining in the wings and cups keeps this clever bra in place and can be worn up to 25 times. This strapless underwire style is your secret weapon beneath even the most daring backless styles, with push-up cups that create enhanced cleavage with minimal coverage."
14,How Perfect Wireless Bra,"Soft yet supportive with wide built-up camisole straps, double layers of microfiber and mesh side slings."
15,Alexandra Bralette,Lounge or layer in this stretchy lace bralette made extra romantic with sheer cups and a flirty cutout.
16,'Finesse' Molded Underwire T-Shirt Bra,"Beautiful lace smoothly overlays a plunging underwire bra with molded stretch-foam cups with a smooth fit that's ideal under a tee or clingy knits. The molded cups lift, support and shape a natural, rounded silhouette for an average to full bust."
17,'b.sultry' Lace Front Thong,A Chantilly lace front brings sultry French-inspired design to an alluring thong shaped in sheer mesh.
18,'Bride' Lace Hipster Panties,Crystals spell 'Bride' on the back of low-rise hipsters with a cheeky back.
19,Porcelain Rose Bikini,"A mix of luxuriously soft lace and mesh makes this low-rise panty an everyday staple, while a tiny front charm adds an extra touch of romance."
20,'Annabelle' Lace Camisole,Scalloped trim adorned with a little blue bow flirts around the V-neckline of a sheer camisole made from Hanky Panky's signature stretch lace.
21,'Nude Illusion' Open Gusset Thong,Contrasting black lace seemingly floats over bare skin in a racy sheer mesh thong designed with a daring open gusset.
22,Zip Front Underwire Sports Bra,Foam underwire cups and a wide racerback provide ample support and shape for this breathable sports bra designed with a secure front zip with a zipper garage to protect your skin.
23,Convertible Underwire Push-Up Bra,"Removable padding adds a full cup size for an enhanced look in this smooth, molded T-shirt bra anchored by convertible straps that accommodate a variety of outfits."
24,'b.sultry' Chemise,Tonight's for tantalizing. Sheer floral lace gives this lightweight chemise its bold allure.
25,'Ciao Bella' Tanga,A contrasting organza bow dots the front of a sheer lace tanga made with scalloped leg openings that feel soft and comfortable against the skin.
26,Racerback Lace Bralette,Lounge or layer in this lacy triangle bralette anchored with a sheer racerback.
27,Convertible Underwire Push-Up Bra,Graduated push-up cups create an enhanced look on this everyday T-shirt bra designed with lacy straps that slide across the top to convert from conventional to racerback.
28,Polka Daisy Cheeky Hipster Panty,"Daisies, polka dots and you—as sweet as it gets."
29,Chalk Stripe Hipster Panty,Pastel stripes add to the fun of these cheeky-cut lace panties.
30,'Retro Chic' Full Fit Underwire Spacer Bra,Lightweight spacer fabric adds to the superior comfort of this full-fit bra which gains its extra-smooth fit from seamless contouring cups and a no-bulge leotard back.
31,'Awareness' High Cut Briefs,A jacquard floral pattern covers sheer mesh briefs with a flattering high cut and comfortable elastic at the waistband and legs.
32,Queen Anne Thong,Fabulously soft and stretchy lace design feels great on and doesn't show through your clothes.
33,Underwire Sports Bra,"This soft and supportive sports bra is fashioned with wide, kicked-in shoulder straps and contoured underwire cups for an exceptionally secure and comfortable fit. Moisture-wicking fabric keeps skin cool and dry while the mesh straps, center-front and back wings ventilate excess heat."
34,'B-Smooth' Seamless Bralette,"Comfortable and supportive, this wireless bralette features a wide underbust band that stays in place and a low scooped back for a smooth look under clothing."
35,Stark Beauty Underwire Bra,"Romance meets comfort with this everyday bra made with a low center front that works under various necklines and smooth, non-padded cups for a flawless foundation."
36,Original Rise Thong,Classic colors style regular-rise thongs made from soft and stretchy lace that fits comfortably and won't show through clothes.
37,Studio Mia Panty,Sporty and saucy with sheer mesh along the hipster sides and full-coverage back.
38,'Lace Kiss' Chemise,Teensy satin bows garnish the straps of a curve-skimming chemise cut from bewitching sheer lace.
39,Hanky Panky 'Leopard Nouveau' Print Teddy,"This teddy's leopard spots, functional front ties and open gusset make it oh-so-easy to tap into your wild side."
40,Stark Beauty Underwire Contour Bra,Romance meets comfort with this everyday T-shirt bra made with a low center front that works under various necklines and smooth lacy cups for a flawless foundation.
41,Elizabeth Garter Belt,Hanky Panky's signature stretchy lace becomes especially seductive as a garter belt finished with four adjustable attachments.
42,Purity Bikini,"Embroidered mesh adds to the stretchy, lightweight fit of these full-coverage panties."
43,'CK One' Thong,An iconic logo waistband tops this soft microfiber thong traced with lacy mesh hips and an ultra-cheeky thong back.
44,Seamless Day Bra,Shirring below the V-neckline shapes a stretchy day bra designed without seaming or underwires for a natural look and softly supported fit.
45,Studio Anna Hipster Panty,"Light, airy and comfy like all Hanky Panky panties, this sporty pair looks fun and fresh in fuchsia accents."
46,Marquisette Hipster Panty,"A soft, sheer and flirty panty mixes delicate lace with a sporty CK waistband."
47,Basic Beauty Full Figure Underwire Bra,Molded cups with an inner sling offer smooth support under close-fitting fabrics. The comfortable V-shaped back features adjustable straps that stay in place and won't show under sleeveless styles.
48,'Halo' Convertible Underwire Bra,This bandeau bra is wrapped in romantic lace and supported by medical-grade elastics to stay put. The brushed interior will feel incredibly soft and cozy against your skin all day long. Intermittent slits throughout the interior allow you to place the removable straps where you need them depending on your outfit.
49,'Cotton Suede' Lace Trim Briefs,"Sheer stretch lace forms the wide, nonbinding waistband of soft sueded, cotton-blend briefs finished with a back seam that keeps them in place."
50,How Perfect Wireless Contour Bra,"Ultrasoft brushed fabric covers the stretch foam-lined cups of a bra that smoothes and shapes without wires, tailored at the neck and underarms for a flawless foundation."
51,Seamless Underwire Bra,"Demi-contour bra with smart mesh panels. Supplex® nylon wicks away moisture, keeping you cool and dry. Seamless construction gives smooth support under body-conscious fabrics."
52,Linger Lace Thong,Ultrafine lace smoothes out the edges of this romantic thong.
53,Sleek String Bikini,A silver-foiled logo brands comfortable full-coverage bottoms designed to disappear beneath clothes for a line-free finish.
54,Aloha Low Rise Thong,Fabulously soft and stretchy lace feels great on and doesn't show through your clothes.
55,Illusion Seamless Bikini Briefs,"These soft, seamless panties are designed to disappear under clothing and wear incredibly comfortably."
56,Radical Bikini,"Burnout mesh reveals the logo waistband and edgy graphics of these light, modern panties."
57,Bralette,Soft cups flatter a seamless longline bralette that's great for lounging and layering.
58,Chrystalle Tanga Panty,Intricate designs trace the sheer Leavers lace of this cheeky tanga with a low-rise waist and stretchy mesh sides for a comfy fit.
59,Lace Garter Belt,Hanky Panky's signature stretchy lace becomes especially seductive as a garter belt accented with flirty bows and finished with four adjustable attachments.
60,Signature Lace String Bikini,"Fantastic comfort, flirty style."
61,Ali High Neck Bralette,"Made for layering with a high neck and cutaway shoulders, this crop-top style bralette is also soft and comfortable in Hanky Panky's signature stretch lace."
62,Nude Illusion Open Gusset Panty,Contrasting black lace seemingly floats over bare skin in a racy sheer-mesh bikini designed with a daring open gusset.
63,Low Rise Thong,Classic colors style low-rise thongs made from soft and stretchy lace that fits comfortably and won't show through clothes.
64,'B Delighted' Convertible Underwire Contour Bra,"The mesh-lined stretch-foam demi cups of a plunging contour bra create a smooth foundation perfect for even low-cut tops, its silhouette sweetened by stretch lace wings. Convertible straps can be styled as a halter, worn singly, crossed in back or over the shoulder, and can be removed to create a strapless silhouette. A silicone band ensures it stays in place until the evening's end."
65,'Pure' Seamless Bikini,The smoothly banded leg openings and logo waistband of a stretchy seamless bikini lay flat against the skin and fit comfortably without binding.
66,Brazilian Bikini,Play up your charms with eyelet and lace.
67,'Signature Lace' Brazilian Bikini,"Soft, stretchy signature lace is cut for the low-rise fit of a Brazilian bikini with a cheeky back."
68,Nude Illusion Bralette,"Inviting satin ribbons keep the spliced triangle cups open or closed as you like, while racy black lace pops against the pale, sheer mesh of this tantalizing bralette."
69,Lace Thong,"Stretchy, airy lace is both comfortable and alluring."
70,V-Front Boyshorts,Fantastic comfort and flirty style with an update—a V-shaped waist creates a flattering silhouette.
71,Linger Teddy,Have fun stunning in this barely there bodysuit paneled in fine lace and soft microfiber.
72,Bellissima Low Rise Thong,Luxuriously soft and stretchy signature lace makes this low-rise thong an everyday staple.
73,Seamless Push-Up NuBra,"Ideal for strapless, backless styles, this stick-on silicone bra is designed with molded cups that easily position to create more or less cleavage."
74,'Invisibles' Thong,"A sleek microfiber thong features completely flat laser-cut edges for a smooth, second-skin fit and no telltale lines to show under clothes."
75,Chiffon Tap Shorts,"Lounge luxuriously in soft, airy and ethereal shorts."
76,Betsy String Bikini,Fabulously soft and stretchy lace feels great on and doesn't show through your clothes.
