id_product,product_name,description
1,logo cotton stretch thong,soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.
2,essentials thong,the essentials thong features a semi sheer pattern and tonal lace trim.
3,3 pack liner socks,soft liner socks in a 3-pack featuring a no-show style and elasticized edges for a better fit.
4,pure seamless thong,a seamless style with contrasting print logo on the waistband and minimal rear coverage.
5,bare lace allover bralette,"a bare lace bralette designed with nylon fabric, a v-neckline with adjustable straps, an allover floral lace galloon and finished with scallop lace trim."
6,invisibles thong,"an invisibles thong featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style."
7,signature bikini,"a signature bikini featuring nylon stretch, lace scallop trim and a repeating logo designed for a sexy silhouette in comfortable lightweight micro fabric."
8,essentials hipster,the essentials hipster features a thin elasticized logo waistband and tonal lace trim.
9,logo cotton boyshort,a soft cotton boyshort featuring an elasticized logo waistband and full cotton gusset.
10,sheer marquisette bikini,"a string bikini featuring supersoft lightweight sheer and reintroducing the quintessential ck fabrication, sheer marquisette."
11,cheeky hipster with lace,silky fabric with a lace trim and moderate rear coverage.
12,essentials satin trim chemise,the essentials satin trim chemise features thin adjustable straps and a logo patch.
13,modern cotton bralette,"a modern cotton bralette featuring a wide elasticized logo band, soft stretch fabric and racerback straps."
14,essentials push-up bra,"part of wardrobe essentials, push-up padding and moderate coverage make this essence bra the perfect silhouette."
15,bare lace hipster,a bare lace hipster brief designed with nylon fabric and floral lace galloon in a lightweight style.
16,logo cotton hipster,"a hipster panty designed with cotton stretch fabric, an elasticized logo waistband and a full cotton gusset."
17,invisibles hipster,the invisibles hipster features a laser-cut and raw edge seams.
18,sheer marquisette lightly lined demi bra,"a lightly lined demi bra featuring supersoft lightweight sheer and reintroducing the quintessential ck fabrication, sheer marquisette."
19,sheer marquisette unlined demi bra,"an unlined demi bra featuring supersoft lightweight sheer and reintroducing the quintessential ck fabrication, sheer marquisette."
20,signature push-up bra,plunge push-up padding and lace trimming is designed for a sexy silhouette in comfortable lightweight micro fabrics.
21,thong with lace,lace trim and a silky fabric detail this thong.
22,essentials bikini,"an essential bikini panty featuring lightweight, silky fabric, a thin elasticized logo waistband and tonal lace trim."
23,cotton logo with lace hipster,this hipster panty features scalloped lace details and a narrow logo elasticized waistband.
24,invisibles hipster,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style."
25,logo cotton bikini,the logo cotton bikini features an elasticized logo waistband and full cotton gusset.
26,modern cotton lightly lined bralette,"a modern cotton lightly lined bralette featuring a wide elasticized logo band, cotton blend stretch fabric and a racerback design."
27,perfectly fit memory touch push-up bra,the perfectly fit push-up bra features 4-way stretch foam cups for extra lift.
28,pure seamless hipster,a seamless style with contrasting print logo on the waistband and moderate rear coverage.
29,seamless bralette,a contrast color logo bralette designed with stretch fabric and seamless technology for the ultimate in comfort and flexibility.
30,modern cotton bralette,the modern cotton bralette features a wide elasticized logo band and racerback straps.
31,modern cotton leggings,modern cotton leggings crafted with cotton modal stretch feature a wide elasticized logo waistband and tight banded cuffs at the ankles.
32,cheeky bikini with lace,silky fabric with a lace trim and moderate rear coverage.
33,seductive comfort lace unlined bra,"a seductive comfort lift demi bra featuring an allover lace design, scalloped lace trim and padded push-up cups."
34,icon modern t-shirt bra,"part of wardrobe essentials, the modern t-shirt bra features smooth 2-way stretch contouring cups and a sheer elasticized band."
35,invisibles thong,the invisibles thong features a tagless style and logo at waistband.
36,seamless illusions striped hipster,an illusions stripe print with seamless edges for a no-show look and stretch fabric in a comfortable hipster style.
37,perfectly fit modern t-shirt bra,the perfectly fit modern t-shirt bra features full coverage and adjustable straps.
38,invisibles hipster,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel for a sleek tagless style."
39,viscose lunar sleep set,"a lightweight top and shorts sleep set crafted with soft viscose. designed with a v-neck, lace trim, x-ribbons and subtle logo detailing."
40,logo micro thong,"a thong designed with microfiber stretch fabric, a logo waistband and minimal rear coverage with a silky, soft feel."
41,bare lace cotton bralette,"a bare lace bralette designed with cotton fabric, a v-neckline with adjustable straps, a floral lace galloon band and finished with scallop lace trim."
42,modern cotton thong,a modern cotton thong designed with an elasticized logo waistband and a tagless design.
43,modern cotton bralette,"a modern cotton bralette featuring cotton modal stretch fabric, a strike-out logo design, a wide elasticized logo band and mesh racerback straps."
44,logo cotton hipster,a hipster panty designed with an elasticized logo waistband and a full cotton gusset.
45,ck black thong,"a ck black thong designed with nylon stretch fabric, abstract oversized floral lace and mesh trim for intricate, sheer styling."
46,essentials satin trim cap sleeve top,the essentials cap sleeve top features a v-neck and satin trim neckline.
47,ombre triangle bralette,"an ombre triangle bralette designed with linear eyelet lace galloon, picot elastic trim and finished with a logo plaque."
48,radical bikini,"a bikini featuring allover sheer lattice logo lace, a bold mesh logo waistband and rear coverage for a radical, modern logo design."
49,vintage nightshirt,"made with cotton blend fabric, this long nightshirt features a wide round neck, long sleeves, a classic chest logo and tonal topstitching for a vintage inspired style."
50,logo cotton stretch thong,soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage thong style.
51,invisibles thong,"an invisibles thong featuring a streamlined design with an ultra silky, lightweight feel for a sleek tagless style."
52,sheer marquisette lace hipster,"a hipster featuring supersoft lightweight sheer and modern swing lace trim reintroducing the quintessential ck fabrication, sheer marquisette."
53,sheer marquisette lace triangle bra,"a triangle bra featuring supersoft lightweight sheer and modern swing lace trim reintroducing the quintessential ck fabrication, sheer marquisette."
54,naked glamour strapless push-up bra,the naked glamour strapless push-up bra features detachable logo straps and interior grip lining at seams for fit.
55,ombre thong,"an ombre thong designed with linear eyelet lace galloon, picot elastic trim, dip-dyed fabric and finished with a logo plaque."
56,ombre bikini,"an ombre bikini designed with linear eyelet lace galloon, picot elastic trim, dip-dyed fabric and finished with a logo plaque."
57,lightly lined wirefree lounge bra,"a perfectly fit bra featuring nylon stretch fabric, full coverage, adjustable straps and a wirefree design."
58,modern cotton tank top,"a modern cotton lounge tank top crafted with cotton modal stretch fabric, a bleached-dyed print and a comfortable fit for a youthful, sporty design."
59,ck id wide waistband triangle bra,"a calvin klein id triangle bra featuring a convertible, pull-on design revisiting cotton classic styling and exploring a new shape."
60,essentials t-shirt bra,"part of wardrobe essentials, full coverage cups and adjustable straps for a comfortable fit."
61,signature demi bra,lightweight foam padded cups provides extra comfort and a lace detail at the center of the bra makes this a practical style with an added touch of sexy.
62,essentials bikini,the essentials bikini features a lace trim and sheer elasticized waistband.
63,icon perfect push-up bra,"part of wardrobe essentials, the icon perfect push-up bra features lightweight gel and air cups and a picot trim."
64,logo cotton thong,the logo cotton thong features an elasticized logo waistband and minimal rear coverage.
65,modern cotton bikini,this modern cotton bikini panty features full rear coverage and a wide elasticized logo waistband.
66,cotton logo with lace thong,the cotton thong features scalloped lace trim and a narrow logo elasticized waistband.
67,modern cotton high neck bralette,"a modern cotton bralette featuring a wide elasticized logo band, soft stretch fabric and a high neckline."
68,logo + lace-trim bikini,the cotton bikini features a flat logo waistband and contrasting lace trim.
69,2 pack logo liner socks,soft liner socks in a 2-pack featuring a no-show style and elasticized edges for a better fit.
70,modern cotton short,the modern cotton short features a wide elasticized logo waistband and full cotton gusset.
71,radical triangle bralette,"a triangle bralette featuring allover sheer lattice logo lace, adjustable straps and a bold mesh logo waistband for a radical, modern logo design."
72,bare lace thong,a bare lace thong designed with nylon fabric and floral lace galloon in a lightweight style.
73,woven viscose sleep shorts,"soft lightweight sleep shorts crafted with woven viscose fabric, a logo drawstring waistband and a compact back pocket finished with a logo tag."
74,seductive comfort lace lift demi bra,"a seductive comfort lift demi bra designed with scalloped lace trim, padded push-up cups and a smooth stitch-free construction."
75,ck id wide waistband tanga,a calvin klein id tanga featuring a cheeky silhouette and logo band revisiting cotton classic styling and exploring a new shape.
76,essentials hipster,"an essential hipster panty featuring lightweight, silky fabric, a thin elasticized logo waistband and tonal lace trim."
77,seamless illusions stripe print thong,seamless edges for a no-show look in an illusions stripe print.
78,modern cotton scoopneck long sleeve top,"a deep scoopneck adds drama to this sleek modern cotton top. made with cotton modal stretch, a classic logo elastic band and topstitching."
79,ck id thin waistband string bikini,"a ck id string bikini featuring cotton stretch, a thin logo band and string detailing revisiting cotton classic styling and exploring a new shape."
80,pure seamless bikini,a seamless style with contrasting print logo on the waistband and full rear coverage.
81,ck id thin waistband unlined triangle bra,"a ck id triangle bra featuring a convertible design, a front closure and a thin logo band revisiting cotton classic styling and exploring a new shape."
82,essentials satin trim lounge pants,the essentials lounge pants feature a satin trim elasticized waistband and side logo patch.
83,modern cotton leggings,"modern cotton leggings crafted with cotton modal stretch feature a wide elasticized logo waistband, a printed design and tight banded cuffs at the ankles."
84,v-neck romper,"a sleek, lightweight loungewear design made with adjustable shoulder straps, a v-neckline with x-ribbon detailing, an elasticated waist and lace trim."
85,woven viscose abstract pajama pants,these woven viscose pajama pants feature an abstract print and drawstring closure.
86,logo cotton stretch bikini,soft cotton stretch fabric with a metallic logo waistband in a full rear coverage style.
87,signature unlined t-shirt bra,"a signature plunge t-shirt bra featuring nylon stretch, padded cups and lace trimming designed for a sexy silhouette in comfortable lightweight micro fabric."
88,perfectly fit multi-way push-up bra,the perfectly fit multi-way bra features 4-way stretch foam cups and convertible multi-way style.
89,invisibles full coverage contour bra,a comfortable full coverage bra in nylon stretch fabric in a wide range of sizes.
90,seductive comfort lace add-a-size plunge bra,"a seductive comfort add-a-size plunge bra designed with scalloped lace trim, extra padded push-up cups and a smooth stitch-free construction."
91,modern cotton bikini,"a modern cotton bikini panty featuring mesh stretch fabric, a strike-out logo design, a wide elasticized logo band and full coverage."
92,seamless bikini,a contrast color logo bikini designed with stretch fabric and seamless technology for the ultimate in comfort and flexibility.
93,modern cotton lounge tank top,"a modern cotton lounge tank top crafted with cotton modal stretch fabric, classic logo styling and a comfortable fit for a youthful, sporty design."
94,essentials t-shirt lace bra,an essentials t-shirt bra designed with nylon stretch fabric and moderate coverage with delicate lace detailing.
95,ck black plunge push up bra,"a ck black plunge push-up bra designed with nylon stretch fabric, abstract oversized floral lace and padded cups with mesh trim for intricate, sheer styling."
96,modern cotton lounge pants,"modern cotton lounge pants crafted with cotton stretch fabric, classic logo styling and a comfortable fit for a youthful, sporty design."
97,cotton modal short sleeve top,soft modal stretch fabric in a lightweight short sleeve style for lounging.
98,2 pack liner socks,soft liner socks in a 2-pack featuring a no-show style and elasticized edges for a better fit.
99,woven viscose abstract print pajama pants,these woven viscose pajama pants feature an abstract print and drawstring closure.
100,sheer marquisette lace bodysuit,"a bodysuit featuring supersoft lightweight sheer, modern swing lace trim and full coverage reintroducing the quintessential ck fabrication, sheer marquisette."
101,logo cotton thong,the logo cotton thong features an elasticized waistband and cotton gusset.
102,everyday calvin lightly lined full coverage bra,"a lightly lined bra featuring plush adjustable straps that convert from conventional to crossback wear, lightweight flexible padding, brushed micro trim and full coverage for ultimate comfort with a new and improved fit."
103,ck id wide waistband trunk,a calvin klein id trunk featuring a boyfriend silhouette and logo band revisiting cotton classic styling and exploring a new shape.
104,seductive comfort convertible lace padded bra,"a convertible seductive comfort bra featuring scalloped lace trim, extra padded push-up cups and a smooth stitch-free construction. an exceptional value, this design can be worn 5 ways from strapless to halter, conventional, one shoulder or crossback."
105,modern cotton tank top,"a modern cotton tank top featuring mesh stretch fabric, a strike-out logo design, a scoopneck and semi-sheer material."
106,sheer marquisette thong,"a thong featuring supersoft lightweight sheer and reintroducing the quintessential ck fabrication, sheer marquisette."
107,sheer marquisette lace string bikini,"a string bikini featuring supersoft lightweight sheer and modern swing lace trim reintroducing the quintessential ck fabrication, sheer marquisette."
108,essentials satin pajama top,a satin trim deep v-neck updates this pajama top from the essentials collection.
109,ck black lightly lined bralette,"a ck black bralette designed with nylon stretch fabric, abstract oversized floral lace, a high neckline silhouette and lightly lined cups with mesh trim for intricate, sheer styling."
110,seamless longline bralette,"a contrast color logo unlined bralette designed with stretch fabric, convertible straps, a longline silhouette and seamless technology for the ultimate in comfort and flexibility."
111,logo micro bikini,"a bikini designed with microfiber stretch fabric, a logo waistband and minimal rear coverage with a silky, soft feel."
112,seamless illusions striped bikini,striped stretch fabric and a contrasting logo band with seamless edges for a no-show look.
113,ck black sensual balconette bra,a balconette style in a delicate lace picot design from ultra premium fabric.
114,modern cotton bralette,"a modern cotton bralette and bikini set designed with cotton modal stretch fabric, a contrasting wide elasticized logo band and seaming details for extreme comfort with iconic, signature styling."
115,modern cotton bikini,"a modern cotton bralette and bikini set designed with cotton modal stretch fabric, a contrasting wide elasticized logo band and seaming details for extreme comfort with iconic, signature styling."
116,modern cotton bandeau,"a modern cotton bandeau and thong set designed with cotton modal stretch fabric, a wide elasticized logo band and seaming details for iconic, signature styling."
117,modern cotton thong,"a modern cotton bandeau and thong set designed with cotton modal stretch fabric, a wide elasticized logo band and seaming details for iconic, signature styling."
118,perfectly fit mesh lace bikini,"a perfectly fit bikini featuring microfiber fabric, graphic mesh trim, rear coverage and a full gusset."
119,modern cotton stretch zip hoodie,"a modern cotton zip hoodie crafted with cotton stretch fabric, classic logo styling and ribbed knit detailing for a youthful, sporty design."
120,essentials lace push-up bra,"part of wardrobe essentials, push-up padding and moderate coverage make this essence lace bra the perfect silhouette."
121,perfectly fit push-up bra,a perfectly fit push-up bra with memory touch padding for lift and a subtle picot trim for delicate detailing.
122,logo cotton thong,thelogo cotton thong features an elasticized waistband and cotton gusset.
123,modern cotton bandeau,"a modern cotton bandeau designed with cotton modal stretch fabric, a classic wide elasticized logo band and seaming details."
124,hashtag triangle bralette,"a hashtag triangle bralette designed with cotton stretch, adjustable slim straps, a cut-out front detail and an elasticated logo band."
125,ck id thin waistband unlined triangle bra,"a ck id unlined triangle bra and string bikini set featuring a convertible design, cotton stretch fabric and a thin logo band revisiting cotton classic styling and exploring a new shape."
126,ck id thin waistband string bikini,"a ck id unlined triangle bra and string bikini set featuring a convertible design, cotton stretch fabric and a thin logo band revisiting cotton classic styling and exploring a new shape."
127,retro calvin bralette,"a retro calvin bralette + short set featuring cotton stretch fabric, an elasticized ribbed knit band and an iconic logo design."
128,retro calvin short,"a retro calvin bralette + short set featuring cotton stretch fabric, an elasticized ribbed knit band and an iconic logo design."
129,seamless bralette,"a striking bra and bikini underwear set designed with tonal logo styling, seamless technology and stretch fabric for the ultimate in comfort and flexibility."
130,seamless bikini,"a striking bra and bikini underwear set designed with tonal logo styling, seamless technology and stretch fabric for the ultimate in comfort and flexibility."
131,modern cotton bralette,a bold color with a contrasting elasticized logo waistband for extreme comfort.
132,modern cotton bikini,a bold color with a contrasting elasticized logo waistband for extreme comfort.
133,seamless longline bralette,"crafted with seamless technology for the ultimate in comfort and flexibility, this unlined bralette and bikini set feature stretch fabric, convertible straps, a longline silhouette, rear coverage and contrast color logo detailing."
134,seamless bikini,"crafted with seamless technology for the ultimate in comfort and flexibility, this unlined bralette and bikini set feature stretch fabric, convertible straps, a longline silhouette, rear coverage and contrast color logo detailing."
135,radical triangle bralette,"a triangle bralette and bikini set featuring allover sheer lattice logo lace, adjustable straps, bold mesh logo bands and full rear coverage for a radical, modern logo design."
136,radical bikini,"a triangle bralette and bikini set featuring allover sheer lattice logo lace, adjustable straps, bold mesh logo bands and full rear coverage for a radical, modern logo design."
137,ck id wide waistband triangle bra,"a calvin klein id triangle bra and tanga set featuring a convertible, pull-on design revisiting cotton classic styling and exploring a new shape."
138,ck id wide waistband tanga,"a calvin klein id triangle bra and tanga set featuring a convertible, pull-on design revisiting cotton classic styling and exploring a new shape."
