id_product,product_name,description
1,b.tempt'd Ciao Bella Bralette,"Say “buongiorno!” to this ladylike piece that you will layer underneath all the square-neck tops in your closet- and then some. A sultry fishnet mesh lined band  holds everything in place, and vertical seams in each cup strategically shape for a sleek silhouette."
2,b.charming T-Shirt Bra,"That bra you know you need, in a style you definitely want.  Buy this sleek, shaping essential in bulk and enjoy accordingly- under any outfit, every day."
3,b.splendid Underwire T-shirt Bra,"With underwire concealed between layers of foam, light stretch cups and soft & sleek heather fabric, consider this your everyday t-shirt bra, upgraded. And the back is designed to smooth your sides- which is always a good thing."
4,b.sultry Underwire Bra,"Want to feel amazing? Thought so. Slip on this Chantilly lace bra with a low cut front (ya know, to maximize the cleavage factor) and you are on your way. Oh- and see the hint of eyelash lace peeking out along the top edges? Wink, wink."
5,b.sultry Thong,"This is one thong designed to bring the heat. The string sides and soft stretch waist and leg openings make the fit feel custom, and the Chantilly lace accents topped with a tiny accent bow make the fashion look couture."
6,b.provocative Underwire T-shirt Bra,"Low plunge and high fashion- this underwire bra enhances every curve. The specially designed cups feature a flat-darted seam that virtually disappears under clothes,  and the pairing of dramatic lace with opalescent stretch fabric is a little retro, and a lot racy."
7,b.sultry Bikini,"Coverage has never been quite so steamy. The strategically angled lace and stretch mesh inlays flatter the figure in what we think you will will agree is a sexy, one-of-a-kind style."
8,b.sleek Bikini,"The ultimate antidote to unwanted panty lines, once you see the smoothness that is the result of our heat-sealed seams, you will want to wear this bikini style every single day. And in our opinion, it is so soft and versatile, there is no reason not to!"
9,b.inspired Bralette,"The most captivating thing a girl can wear when lounging on the couch with a loved one- or, for that matter, no one- this bralette takes a daring deep v neckline and tips it with dainty lace. Sensuous and sweet,  stretch mesh provides subtle support and the band along the bottom keeps the fit secure."
10,b.provocative Underwire Bra,"Up the flirt factor of those effortlessly sexy t-shirts in an instant.  Stretch foam pads, topped with shimmering opalescent fabric, provide contouring and coverage. Lace details frame the cups, and the lace band that stretches  around the body is lined for comfort. Just like your favorite t-shirt, you are gonna want to live in this bra- trust us."
11,b.cherished Thong,This confetti lace thong with figure flattering corsetry details is downright covetable.  The delicate scallop trim along the legs and back and banded waist detail that gleams make this panty pretty perfect from top to bottom.
12,b.tempt'd Lace Kiss Bralette,"Feeling cute while being comfy is the ultimate, right? This bralette captures said sentiment in one fashion forward package. Slip it over the head, adjust the straps for a custom fit, and cozy up to whoever, or whatever, you please."
13,b.gorgeous Bikini,Flirty lace gives our b.gorgeous bikini a look you can’t resist. This panty is the perfect choice for days you want to feel comfortable and a little sexy too.
14,b.tempt'd Lace Kiss Bikini,"With a stretch lace band that embraces your waist, this bikini offers a customized fit in a classic floral pattern lace"
15,b.adorable Chemise,"This super soft chemise is delightful any time you want to “slip into something more comfortable”. With lady-like lace details, shaping soft cups and an adjustable strap along the back,  it is the quintessential piece any time the chance for some r & r presents itself."
16,b.sultry Thong,"Perfectly placed lace gives our b.sultry Thong a chic, sexy look. Wear this panty with the matching bra for a sultry look from top to bottom."
17,b.sultry Chemise,"Sure, the Chantilly lace top and three-section seamed cup evoke old Hollywood glamour. Yet, this chemise’s sheer midriff and back inspire a modern day vixen vibe. Let the scalloped  edges peek out from under dress, or wear on it’s own to set off all kinds of alarms!"
18,b.tempt'd Most Desired Thong,"At first glance, sweet. At second glance, super sexy. This smooth satin style features lace that lies perfectly against the skin and manages to be totally undetectable and quite desirable at the same time."
19,b.splendid Hipster,The smooth stitching around the legs upgrades the classic hipster into VPL-free territory.
20,b.sleek Thong,The ultimate panty to look polished; we heat seal the seams for a smooth silhouette under anything and everything.
21,b.provocative Bikini,"A classic silhouette with timeless appliqued lace and modern stretch fabric with an opalescent sheen, this style can’t help but entice."
22,b.tempt'd Ciao Bella Bikini,"Arrivederci, basic bikini. With lace featured front and center, the stretch mesh that envelops your assets create a quite tempting rear view. Soft elastic at the waist and leg openings is that  thoughtful added touch we like to throw in to keep everything sitting smoothly."
23,b.wow'd by b.tempt'd Push Up Bra,"A hot little number on the outside calls for a hot little somethin’ on the inside- and that “somethin’” should definitely have a plunging neckline, push-up power and (obviously) animal print lining. Talk about a wow factor, right?"
24,b.bare thong,"No need to dare to go to bare when you have b. bare. With lightweight clean cut fabric and a completely clean look under clothes, this is a much smarter- and sleeker- option."
25,b.tempt'd Most Desired Hipster,"This is that hipster everyone hunts for- a flattering and comfy cut, flirty lace and mesh accents and a pair of perfectly placed satin bows to boot."
26,b.sumptuous Underwire Balconette Bra,Floral lace gives our b.sumptuous Underwire an ultra feminine look and the balconette silhouette makes it the perfect choice to wear under square neck tops. This bra is an absolute must-have for your lingerie collection.
27,Lace Kiss Bandeau,"The easy, breezy way to “contain yourself” in strapless, open back or low cut styles- the ruched center seam shapes, and the lace band fashionably anchors this peek-worthy bandeau around your body."
28,b.provocative Front Close Wire Free Bralette,"This uber-on-trend lace racerback style will instantly turn tops with challenging necklines into style staples. The fashion forward elongated triangle cups create a sexy V along the décolletage, anchored by an easy-to-fasten  front clasp. From any angle, this bralette provokes a lingering eye…"
29,Ciao Bella Wire Free Bralette,A dote-worthy delicate bralette that softly shapes and supports. Corded lace cups paired with a dramatic scallop detail at the neckline make this style unabashedly feminine (and quite flirtatious!)
30,b.tempt'd Lace Kiss Hipster,"The most romantic way to hug your hips, this cheeky cut features allover stretch lace on the front and the back, with delicate scallop details along the waist."
31,b.enticing Boyshort,"Delivering both full-fledged sexy AND all-out comfy, this boyshort does not make compromises. And that is why we love it so. The style will lure you in with lace, and keep you captivated with its foolproof fit."
32,b.tempt'd Faithfully Yours Strapless Underwire Bra,"Who says practical can’t be pretty? Not us. Case in point- this beloved bestseller. Yeah, it does the work- supporting and lifting sans straps. And with a floral contrast trim and bow details, it looks damn good on the job."
33,b.splendid Bikini,"This bikini fits so well you wish it could be worn on the beach. The fabric feels amazing on the skin and the bonded leg is “industry speak” for no visible panty line, ever."
34,b.tempt'd Ciao Bella Tanga Panty,"It takes two to tango- and this sheer sexy tanga is basically a guarantee that your dance card will be forever full. Long coveted by lingerie insiders, the fit flatters, and the details-  like the oversized sheer bow at the waist, and scalloped edges- definitely matter."
35,b.active Underwire Sport Bra,"Make a high-impact fashion statement during a low-impact workout with this sporty style staple. Stretch foam underwire cups shape and support, and the mesh detail on the front and sporty criss-cross straps in the back add on-trend athleisure elements."
36,b.splendid Bralette,"Supportive in the most soft, subtle way- this is that elusive hang out without “hanging” style every girl covets- complete with adjustable straps, a secure fit and a tailored finish."
37,b.gorgeous Chemise,"Our b.gorgeous Chemise is so pretty and flirty you’ll want to wear it all the time. It’s a good thing you can wear it to sleep, lounge, or layer."
38,b.charming Bandeau,"Cute and clever, this is the ideal layering piece for every wardrobe. Held in place by medical grade silicone, you can go about your entire day- and night- with coverage confidence. Designed to be noticed,  the stretch lace back is an accessory unto itself."
39,b.adorable Bralette,"The cutest way to be comfy, this soft-to-the-touch bralette boasts subtle underbust ruching to maximize the modal cups. A wide lace band holds everything in place,   and lace trim around the edges frames a flattering silhouette that is sweet, without feeling saccharine."
40,b.splendid Wire Free Push Up Bra,"This wire-free push up bra is a v-neck t-shirt’s best friend. The light push up pad gives an everyday boost, and the plunged neckline is cut for cleavage.   And since we want you to look good from every angle- the back is designed for sleek smoothing all around."
41,b.bare Hipster,"Our beloved- and flattering- hipster silhouette, stripped down to lightweight, clean cut fabric with lace detailing, makes it hip to b. bare with every outfit, every day."
42,b.charming Front Close T-Shirt Bra,"Bringing sexy back, in the form of a stretch lace racerback that begs to be bared. Let it peek out from under a wide neck, draped top, or an open back t-shirt. The front closure locks up to provide a secure fit,  and the thin stretch foam pads enhance your natural shape."
43,b.charming Tanga,"A sheer lace panty that doesn’t shy away from being a little, um, cheeky- this flirty style is crush-worthy to its core."
44,b.adorable Thong,"Delectable? Yes. Detectable? Nope. This moderate coverage thong disappears under clothes- so you can sport a seamless view from behind.  And, with a wide lace band along the waist that stays flat under clothes,  you can play coy about whether you are wearing anything at all if you so please."
45,b.sultry Balconette Underwire Bra,"The stylish look of layers, combined with a sleek fit that shapes and supports, and super sweet bow details, this is THAT bra. You know, the one that has everything- including  stretch foam cups (that slyly hide under a cut and sew Chantilly lace cover) for a perfect fit."
46,b.tempt'd Ciao Bella Garter Belt,"When the urge for all-out girly glamour strikes, fasten this around your waist. This heirloom-worthy garter transforms a moment from average to amore in mere seconds- like only lovely lace, an oversized bow and satin ribbon flashes can."
47,b.splendid thong,"Versatile and, yes, comfortable- this low-rise silhouette is the ultimate everyday seamless thong."
48,b.provocative Tanga,"The cut is completely flattering, and undeniably alluring. Strategically placed opalescent fabric provides exactly enough coverage in the front, but otherwise, the name of this tanga game is lace, lace and more lace."
49,b.enticing Underwire T-shirt Bra,"Dive right in to this lacy little number with a deep v center- you know you want to. And while the look is frilly, the design is quite savvy- the cups are placed to prevent any sort of see-through situation,  so you are covered whether your clothes are on or, um, off."
50,b.enticing Underwire Strapless Bra,"Ladies, put your open back tops and dresses into high rotation! The view of this strapless stunner from behind is pure, uninterrupted lace since the  clasp is cleverly concealed on the side. And with foam cups for shaping and support, the view from the front is equally impressive."
51,b.splendid Boyshort,"Heather fabric makes it sporty, and the seamless fit makes these boyshorts both sexy & sly."
52,b.adorable Hipster,"The modal fabric provides coverage to leave a little something to the imagination, and perfectly juxtaposes with the peek-a-boo lace band that hugs the hips."
53,b.tempt'd Ciao Bella Thong,"Because we all deserve a little of la dolce vita on a daily basis, this sexy thong also happens to be comfortable. Every woman needs at least one in her lingerie collection- covered in the front, coquette in the back- and sensual all around."
54,b.tempt'd Most Desired Bikini,"Smooth satin with adorable bow and lace details that are sure to be sought after, this bikini cut gives glimpses of skin in all the right places."
55,b.delight’d by b.tempt'd Strapless Bra,"Whether your OOTD calls for a halter, v-neck, crisscross or strapless situation, this has you covered. And concealed, thanks to strategically placed silicone on each contour cup.  The all-lace back is a delightful surprise- yeah, it is sorta sexy- but also adds stability and support. #whoknew"
56,b.gorgeous Thong,Our b.gorgeous thong offers a little lace and a lot of sexy style. It’s the perfect panty to wear with your low-cut bottoms or on days when you want to feel extra feminine.
57,b.tempt'd Ciao Bella Balconette Bra,"Say ciao to a dramatic neckline and lace overlay, tied together with an oversized sheer bow accent. Perfect under square-neck tops, this balconette underwire bra is subtly sweet and sexy."
58,b.active Wire Free Sport Bra,"Featuring an of-the-moment layered look, and runway-ready mesh details- wear this to work out in style. The fit is secure, and the stretch Supplex® fabric is supportive.   Plus, you can adjust the straps for a custom fit- and if you want to criss-cross them, that works too."
59,b.tempt'd Lace Kiss Thong,"This is a wearable way to WOW in any situation- no panty lines, just lovely lace that is always in style."
60,b.tempt'd Full Bloom Underwire Bra,"Beloved for the all-over stretch lace and supportive molded cups, the devil is in the (decorative) details. Contrast trim and hardware along the straps,  and a flattering peek-a-boo keyhole opening smack in the middle make this underwire bra blossom every. single. season."
61,b.tempt'd Lace Kiss Packaged Bikinis,This trio comes in complementary colors to add a playful punch to your panty drawer.
62,b.adorable Bikini,"A minimum coverage bikini option with maximum wear-ability, the super soft modal fabric is dainty and durable- and dare we say- pretty dope."
63,b.sumptuous Bikini,Feeling flirty? Pretty lace in the front and on the sides give our b.sumptuous Bikini a look that’s sure to suit your flirty mood. Pair this bikini with the matching bra for a truly romantic look.
64,b.tempt'd Wrap Star Thong,"This thong proves that even with just a little bit of fabric, you can have a lot of style. A lace wrap-over detail on each side of the waist makes a fashion statement, drawing the eye in such a way that legs appear lengthened. Talk about star power!"
65,b.inspired Hipster,"A contemporary cut with elements of classic sophistication, this is the quintessential waist-down complement to all of the b. inspired bra styles."
66,b.gorgeous Bralette,Our b.gorgeous Bralette offers the best of all worlds. Comfort and style are both wrapped up in one soft and sexy lace bra.
67,b.sultry Garter Belt,"Form and function may have evolved since garters were first introduced, the power this piece has to turn up the heat remains constant. Sheer in the back and along the sides, with a lace panel front and center and a pair of ladylike bows  along the top, this garter belt is discreet and daring, with a side order of darling."
68,b.cherished Underwire Bra,"Corsetry details - including the most adorable striped bow detail at the center - give this confetti stretch lace underwire bra a royal quality.  Hence, you may find yourself feeling like a queen every time you wear it. We won’t judge    if you happen to accidentally sip your coffee- or cocktail- with perfect posture and an outstretched pinky finger."
69,b.tempt'd Wrap Star Bikini,The unique wrap-over feature at the waist on each side creates the illusion of a lace overlay and elongates the legs. Comfort and coverage come courtesy of the smooth microfiber back- this really is the total panty package.
70,b.inspired Underwire Balconette Bra,Ruched diamond lace at the bottom of each cup makes the already impossibly romantic balconette style even lovelier. Stretch foam lift and shape- which is a good thing since the perfectly  placed the band of cross-dyed floral lace draws the eye to exactly where you want it to be- a dainty- or daring?- décolletage.
71,b.tempt'd Lace Kiss Packaged Thongs,A trifecta of festive colors to suit any and every occasion that calls for a lacey thong.
72,b.tempt'd Lace Kiss Chemise,"Easy to wear and hard to resist, this is a stylish staple (in stretch lace, natch) to layer under a dress, and a sexy piece for a smooch-worthy sleepover. Even just saying the word “chemise” feels sophisticated and feminine, right?"
73,b.inspired Underwire Push Up Bra,Kissing cleavage can embolden even the most demure- and is just one of the reasons that this push up bra is so enticing. The lacy back that converts from conventional   to racer-back with a simple slide of the straps- confirms that this stunning staple is both smart and sexy.
74,b.sultry Bikini,"A little lace and a lot of style put our b.sultry Bikini in the mix for perfect panties. Wear this bikini with the matching bra, chemise, or garter belt and be sultry without even trying."
75,b.cherished Underwire T-Shirt Bra,"Made for every day, but definitely not “everyday”, if you know what we mean. Stretch foam cups create a smooth, shapely silhouette, and the scalloped edge on the confetti lace sides adds sophisticated style points."
76,b. provocative Bikini,"A classic silhouette with timeless appliqued lace and modern stretch fabric with an opalescent sheen, this style can’t help but entice."
77,Ciao Bella Wire Free Bralette,A dote-worthy delicate bralette that softly shapes and supports. Corded lace cups paired with a dramatic scallop detail at the necklace make this style unabashedly feminine (and quite flirtatious!)
