id_product,product_name,description
1,Very Sexy Strappy Lace Thong Panty,"Lots of cheek peek, pretty lace, a strappy back—this sexy panty is so not subtle. Allover lace with front bow V-back with crisscross straps Low rise Minimal back coverage: lots of cheek peek Imported nylon/spandex"
2,Victoria Sport NEW! The Player by Victoria Sport Sport Bra,"From cycling to circuit training, this medium-support sport bra with a comfy racerback keeps you dry in smooth Body-Wick fabric. Details Medium support. Pullover style Performance & Fabric Perfect for spinning, kickboxing and circuit training Nylon performance fabric with 4-way stretch Body-Wick keeps you dry Machine wash. Tumble dry. Imported polyester/spandex"
3,Dream Angels NEW! Lace Cutout Thong Panty,Lace and right-now cutouts add sexy little details to this thong. Front center bow and Mesh back Cutouts at front Lace detail at front Low rise No back coverage Imported nylon/spandex/cotton
4,PINK NEW! Lace Back No-Show Thong,"Smooth and stretchy, this barely-there thong is essential under slim-fit pants and skinny jeans. Seamless with a cute lacy back that won’t show through!Only by Victoria’s Secret PINK. Extra low rise Seamless raw edge Lace back detail No show through Imported polyamide/spandex"
5,Body by Victoria Demi Bra,"Sexy comfort and a sleek shape start with low-cut cups perfect for revealing necklines. Lighter Memory Fit lining for extra support as it conforms to your curves features a smoothing U-shaped back. Lift & Lining Lightly lined for shape Underwire cups Straps & Hooks Adjustable straps can convert to crossback and snap into place for a secure hold Back closure Double row of hook and eye closures; Sizes 34DDD, 36DD-36DDD & 38D-38DDD have triple row of closures for a secure, comfortable fit 4 settings to ensure a perfect fit Details & Fabric U-shaped ballet back prevents band from riding up and offers more coverage Double-lined sides for a smooth shape Embossed VS Logo at back hook & eye closure Imported nylon/spandex"
6,The Lacie Lace Shortie Panty,"A little shortie, a lot flirty, in silky-soft and stretchy lace that disappears under clothes.   Allover lace Low rise Full back coverage: shows curves, not skin Imported nylon/spandex/cotton Machine wash"
7,Dream Angels NEW! The Wicked Unlined Uplift Bra,"A little lift goes a long way: the push-up without padding in eyelash lace gives a comfy, natural boost thanks to a hidden sling. Lift & Lining Unlined with innovative sling to provide push-up without padding Underwire cups  Straps & Hooks Adjustable straps Back closure Double row of hook-and-eye closures Can be worn classic or crossback Details & Fabric Allover lace Imported nylon/spandex/metallic threads or nylon/elastane"
8,Victoria Sport NEW! Lightweight by Victoria Sport Strappy Sport Bra,"From cycling to circuit training, this medium-support sport bra with a comfy racerback keeps you dry in smooth Body-Wick fabric. Details Medium support. Pullover style Performance & Fabric   Perfect for spinning, kickboxing and circuit training Nylon performance fabric with 4-way stretch Body-Wick keeps you dry Machine wash. Tumble dry. Imported polyester/spandex"
9,Victoria Sport The Player by Victoria Sport Sport Bra,"From cycling to circuit training, this medium-support sport bra with a comfy racerback keeps you dry in smooth Body-Wick fabric. Details Medium support. Pullover style Performance & Fabric Perfect for spinning, kickboxing and circuit training Nylon performance fabric with 4-way stretch Body-Wick keeps you dry Machine wash. Tumble dry. Imported polyester/spandex"
10,Very Sexy Fishnet Lace Kimono,"The ultimate lacy layer, with a plunge front and open back.   Allover lace Ties at back neck and center front Flutter sleeves 38¼'' from waist; high-low hem hits at knee Imported nylon/polyester"
11,The Bralette Collection NEW! Push-Up Bralette,"Soft, smooth and simply sexy, this push-up adds lift without the wires.  Lift & Lining Push-up padding Wireless cups Straps & Hooks Adjustable straps Pullover style Details & Fabric Imported nylon/spandex/polyester"
12,Very Sexy Push-Up Bra,"Our #1 push-up is sexier than ever with plush, even softer padding for the lift and cleavage you love and a more natural feel, plus edges that disappear under clothes.   Lift & Lining Push-up padding adds 1 cup size Underwire cups Straps & Hooks Fully adjustable straps Back closure Double row of hook-and-eye closures 4 settings to ensure a perfect fit Can be worn classic or crossback Details & Fabric Supersmooth neckline disappears under clothes Cutouts between cups VS charm on side of cup Imported nylon/spandex"
